aac-	aacA16.NG_052380.1	aac_6___Iaf.NG_047278.1	aac_6___Ip.NG_047307.2	aac_6___Iq.NG_047308.1
aac-_1	aacA57_2.NG_052083.1	aac_6___Ian.NG_047282.1	aac_6___Ian.NG_052170.1
aac-_2	aacA32.NG_052208.1	aac_6___32.NG_047266.1
aac-_3	aacA8.NG_052107.1	aac_6___31.NG_047265.1	aac_6___31.NG_052210.1	aac_6___31.NG_052214.1
aacA10	aacA10.NG_052119.1
bla-	blaBIL_1.NG_054644.1	blaCMY_101.NG_048771.1	blaCMY_102.NG_048772.1	blaCMY_103.NG_048773.1	blaCMY_104.NG_048774.1	blaCMY_105.NG_048775.1	blaCMY_106.NG_048776.1	blaCMY_107.NG_048777.1	blaCMY_108.NG_048778.1	blaCMY_109.NG_048779.1	blaCMY_110.NG_048781.1	blaCMY_111.NG_048782.1	blaCMY_112.NG_048783.1	blaCMY_113.NG_048784.1	blaCMY_114.NG_048785.1	blaCMY_115.NG_048786.1	blaCMY_116.NG_048787.1	blaCMY_117.NG_048788.1	blaCMY_118.NG_048789.1	blaCMY_119.NG_048790.1	blaCMY_12.NG_048791.2	blaCMY_121.NG_048792.1	blaCMY_122.NG_048793.1	blaCMY_124.NG_048794.1	blaCMY_125.NG_048795.1	blaCMY_127.NG_048796.1	blaCMY_128.NG_048797.1	blaCMY_129.NG_048798.1	blaCMY_13.NG_048799.1	blaCMY_130.NG_048800.1	blaCMY_131.NG_048801.1	blaCMY_132.NG_048802.1	blaCMY_133.NG_048803.1	blaCMY_134.NG_048804.1	blaCMY_135.NG_048805.1	blaCMY_136.NG_068058.1	blaCMY_137.NG_066695.1	blaCMY_138.NG_048806.1	blaCMY_139.NG_048807.1	blaCMY_14.NG_048808.1	blaCMY_140.NG_050943.1	blaCMY_141.NG_051215.1	blaCMY_142.NG_051753.1	blaCMY_143.NG_052047.1	blaCMY_144.NG_052048.1	blaCMY_145.NG_052649.1	blaCMY_146.NG_052648.1	blaCMY_147.NG_052898.1	blaCMY_148.NG_054681.1	blaCMY_149.NG_054682.1	blaCMY_15.NG_048809.1	blaCMY_150.NG_060513.1	blaCMY_151.NG_054711.1	blaCMY_152.NG_054963.1	blaCMY_153.NG_054964.1	blaCMY_154.NG_055270.1	blaCMY_155.NG_055473.1	blaCMY_156.NG_056410.1	blaCMY_158.NG_062242.1	blaCMY_16.NG_048810.1	blaCMY_160.NG_057614.1	blaCMY_161.NG_057479.1	blaCMY_162.NG_060523.1	blaCMY_163.NG_060564.1	blaCMY_164.NG_065422.1	blaCMY_165.NG_065862.1	blaCMY_166.NG_065863.1	blaCMY_167.NG_065864.1	blaCMY_168.NG_067135.1	blaCMY_17.NG_048811.1	blaCMY_170.NG_067137.1	blaCMY_171.NG_068165.1	blaCMY_173.NG_070783.1	blaCMY_18.NG_048812.1	blaCMY_2.NG_048814.1	blaCMY_20.NG_048815.1	blaCMY_21.NG_048816.1	blaCMY_22.NG_048817.1	blaCMY_23.NG_048818.1	blaCMY_24.NG_048819.1	blaCMY_25.NG_048820.1	blaCMY_26.NG_048821.1	blaCMY_27.NG_048822.1	blaCMY_28.NG_048823.1	blaCMY_29.NG_048824.1	blaCMY_30.NG_048825.1	blaCMY_31.NG_048826.1	blaCMY_32.NG_048827.1	blaCMY_33.NG_048828.1	blaCMY_34.NG_048829.1	blaCMY_35.NG_048830.1	blaCMY_36.NG_048831.1	blaCMY_37.NG_048832.1	blaCMY_38.NG_047059.1	blaCMY_39.NG_048833.1	blaCMY_4.NG_048834.1	blaCMY_40.NG_048835.1	blaCMY_41.NG_048836.1	blaCMY_42.NG_048837.1	blaCMY_43.NG_048838.1	blaCMY_44.NG_048839.1	blaCMY_45.NG_048840.1	blaCMY_46.NG_048841.1	blaCMY_47.NG_048842.1	blaCMY_48.NG_048843.1	blaCMY_49.NG_048844.1	blaCMY_5.NG_048845.1	blaCMY_50.NG_048846.1	blaCMY_51.NG_048847.1	blaCMY_53.NG_048848.1	blaCMY_54.NG_048849.1	blaCMY_55.NG_048850.1	blaCMY_56.NG_048851.1	blaCMY_57.NG_048852.1	blaCMY_58.NG_048853.1	blaCMY_59.NG_048854.1	blaCMY_6.NG_048855.1	blaCMY_60.NG_048856.1	blaCMY_61.NG_048857.1	blaCMY_62.NG_048858.1	blaCMY_63.NG_048859.1	blaCMY_64.NG_048860.1	blaCMY_65.NG_048861.1	blaCMY_66.NG_048862.1	blaCMY_67.NG_048863.1	blaCMY_68.NG_048864.1	blaCMY_69.NG_048865.1	blaCMY_7.NG_048866.1	blaCMY_70.NG_048867.1	blaCMY_71.NG_048868.1	blaCMY_72.NG_048869.1	blaCMY_73.NG_048870.1	blaCMY_74.NG_048871.1	blaCMY_75.NG_048872.1	blaCMY_76.NG_048873.1	blaCMY_77.NG_048874.1	blaCMY_78.NG_048875.1	blaCMY_79.NG_048876.1	blaCMY_80.NG_048878.1	blaCMY_81.NG_048879.1	blaCMY_82.NG_048880.1	blaCMY_83.NG_048881.1	blaCMY_84.NG_048882.1	blaCMY_85.NG_048883.1	blaCMY_86.NG_048884.1	blaCMY_87.NG_048885.1	blaCMY_89.NG_048886.1	blaCMY_90.NG_048889.1	blaCMY_94.NG_048891.1	blaCMY_95.NG_048892.1	blaCMY_96.NG_048893.1	blaCMY_97.NG_048894.1	blaCMY_99.NG_048895.1	blaLAT_1.NG_049265.1	blaLAT_3.NG_049266.1
bla-_1	blaCMY_1.NG_048768.1	blaCMY_10.NG_048769.1	blaCMY_11.NG_048780.1	blaCMY_19.NG_048813.1	blaCMY_8.NG_048877.1	blaCMY_8b.NG_048887.1	blaCMY_9.NG_048888.1	blaMOX_1.NG_049311.1	blaMOX_10.NG_049312.1	blaMOX_11.NG_049313.1	blaMOX_14.NG_067143.1	blaMOX_2.NG_049315.1	blaMOX_3.NG_049316.1	blaMOX_4.NG_049317.1
bla-_10	blaCAU_1.NG_048755.1	blaMBL1b.NG_049292.1
bla-_11	blaLEN_1.NG_049268.1	blaLEN_10.NG_050775.1	blaLEN_11.NG_050776.1	blaLEN_12.NG_066697.1	blaLEN_13.NG_050777.1	blaLEN_15.NG_049269.1	blaLEN_16.NG_049270.1	blaLEN_17.NG_049271.1	blaLEN_18.NG_049272.1	blaLEN_19.NG_049273.1	blaLEN_2.NG_049274.1	blaLEN_20.NG_049275.1	blaLEN_21.NG_049276.1	blaLEN_22.NG_049277.1	blaLEN_23.NG_049278.1	blaLEN_24.NG_049279.1	blaLEN_25.NG_049280.1	blaLEN_26.NG_049281.1	blaLEN_27.NG_068509.1	blaLEN_28.NG_060510.1	blaLEN_30.NG_066698.1	blaLEN_31.NG_050605.1	blaLEN_32.NG_066699.1	blaLEN_34.NG_066700.1	blaLEN_35.NG_066763.1	blaLEN_36.NG_066764.1	blaLEN_37.NG_066765.1	blaLEN_38.NG_066701.1	blaLEN_39.NG_066702.1	blaLEN_40.NG_066703.1	blaLEN_41.NG_066704.1	blaLEN_42.NG_066705.1	blaLEN_43.NG_066706.1	blaLEN_5.NG_049282.1	blaLEN_51.NG_066707.1	blaLEN_55.NG_066708.1	blaLEN_58.NG_066709.1	blaLEN_7.NG_050778.1	blaLEN_8.NG_050779.1	blaLEN_9.NG_050780.1	blaOKP_C_1.NG_067155.1	blaOKP_D_1.NG_067156.1	blaSHV_1.NG_049989.1	blaSHV_101.NG_049991.1	blaSHV_102.NG_049992.1	blaSHV_103.NG_049993.1	blaSHV_104.NG_049994.1	blaSHV_105.NG_049995.1	blaSHV_108.NG_049998.1	blaSHV_109.NG_049999.1	blaSHV_111.NG_050002.1	blaSHV_115.NG_067162.1	blaSHV_116.NG_068211.1	blaSHV_119.NG_050003.1	blaSHV_12.NG_050590.1	blaSHV_120.NG_050004.1	blaSHV_121.NG_050005.1	blaSHV_129.NG_050007.1	blaSHV_13.NG_050008.1	blaSHV_132.NG_050009.1	blaSHV_133.NG_050010.1	blaSHV_134.NG_050011.1	blaSHV_135.NG_050012.1	blaSHV_14.NG_050014.1	blaSHV_141.NG_050015.1	blaSHV_142.NG_050016.1	blaSHV_143.NG_050017.1	blaSHV_144.NG_050018.1	blaSHV_145.NG_050019.1	blaSHV_146.NG_050020.1	blaSHV_147.NG_050021.1	blaSHV_148.NG_050022.1	blaSHV_149.NG_050023.1	blaSHV_15.NG_050024.1	blaSHV_150.NG_050025.1	blaSHV_151.NG_050026.1	blaSHV_153.NG_050028.1	blaSHV_154.NG_050029.1	blaSHV_155.NG_050030.1	blaSHV_157.NG_050032.1	blaSHV_160.NG_050036.1	blaSHV_161.NG_050037.1	blaSHV_162.NG_050038.1	blaSHV_163.NG_050039.1	blaSHV_164.NG_050040.1	blaSHV_165.NG_050041.1	blaSHV_168.NG_050042.1	blaSHV_172.NG_050043.1	blaSHV_178.NG_050045.1	blaSHV_179.NG_050046.1	blaSHV_18.NG_050047.1	blaSHV_180.NG_050048.1	blaSHV_185.NG_050051.1	blaSHV_186.NG_050052.1	blaSHV_189.NG_050055.1	blaSHV_190.NG_050056.1	blaSHV_193.NG_050058.1	blaSHV_194.NG_051169.1	blaSHV_195.NG_051484.1	blaSHV_196.NG_051521.1	blaSHV_197.NG_052582.1	blaSHV_198.NG_055284.1	blaSHV_199.NG_055503.1	blaSHV_1b_b.NG_050059.1	blaSHV_2.NG_050060.1	blaSHV_200.NG_055588.1	blaSHV_201.NG_062244.1	blaSHV_203.NG_055668.1	blaSHV_206.NG_062278.1	blaSHV_207.NG_062279.1	blaSHV_209.NG_062281.1	blaSHV_210.NG_062282.1	blaSHV_211.NG_062283.1	blaSHV_213.NG_062285.1	blaSHV_215.NG_062287.1	blaSHV_217.NG_062289.1	blaSHV_218.NG_062290.1	blaSHV_220.NG_062292.1	blaSHV_221.NG_062293.1	blaSHV_222.NG_062294.1	blaSHV_223.NG_062295.1	blaSHV_224.NG_062296.1	blaSHV_225.NG_062297.1	blaSHV_226.NG_062298.1	blaSHV_228.NG_062300.1	blaSHV_24.NG_050061.1	blaSHV_25.NG_050062.1	blaSHV_26.NG_050063.1	blaSHV_29.NG_050066.1	blaSHV_2A.NG_050067.1	blaSHV_3.NG_050068.1	blaSHV_30.NG_050069.1	blaSHV_31.NG_050070.1	blaSHV_33.NG_050072.1	blaSHV_34.NG_050073.1	blaSHV_35.NG_050074.1	blaSHV_36.NG_050075.1	blaSHV_37.NG_050076.1	blaSHV_38.NG_050077.1	blaSHV_4.NG_066766.1	blaSHV_40.NG_050078.1	blaSHV_41.NG_050079.1	blaSHV_42.NG_050080.1	blaSHV_44.NG_050082.1	blaSHV_46.NG_050084.1	blaSHV_48.NG_050085.1	blaSHV_49.NG_050086.1	blaSHV_5.NG_050087.1	blaSHV_50.NG_050088.1	blaSHV_52.NG_050090.1	blaSHV_56.NG_050092.1	blaSHV_57.NG_050093.1	blaSHV_59.NG_050094.1	blaSHV_60.NG_050095.1	blaSHV_61.NG_050096.1	blaSHV_62.NG_050097.1	blaSHV_63.NG_050098.1	blaSHV_64.NG_050099.1	blaSHV_65.NG_050100.1	blaSHV_66.NG_050101.1	blaSHV_69.NG_050103.1	blaSHV_7.NG_050104.1	blaSHV_70.NG_050105.1	blaSHV_72.NG_050107.1	blaSHV_73.NG_050108.1	blaSHV_76.NG_050111.1	blaSHV_78.NG_050113.1	blaSHV_79.NG_050114.1	blaSHV_8.NG_050115.1	blaSHV_80.NG_050116.1	blaSHV_82.NG_050118.1	blaSHV_85.NG_050119.1	blaSHV_86.NG_050120.1	blaSHV_89.NG_050121.1	blaSHV_92.NG_050123.1	blaSHV_94.NG_050125.1	blaSHV_95.NG_050126.1	blaSHV_96.NG_050127.1	blaSHV_97.NG_050128.1	blaSHV_98.NG_050129.1
bla-_12	blaPC1.NG_052065.1	blaZ.NG_047532.1	blaZ.NG_047533.1	blaZ.NG_047534.1	blaZ.NG_047551.1	blaZ.NG_055994.1	blaZ.NG_055997.1	blaZ.NG_055999.1
bla-_13	blaLCR_1.NG_049267.1	blaNPS_1.NG_049343.1
bla-_2	blaACT_1.NG_048597.1	blaACT_10.NG_048598.1	blaACT_13.NG_048600.1	blaACT_2.NG_048606.1	blaACT_29.NG_048615.1	blaACT_3.NG_048616.1	blaACT_34.NG_048621.1	blaACT_38.NG_048625.1	blaACT_4.NG_048627.1	blaACT_48.NG_050711.1	blaACT_53.NG_055522.1	blaACT_57.NG_061418.1	blaACT_58.NG_061419.1	blaACT_6.NG_048629.1	blaACT_62.NG_061388.1	blaACT_63.NG_061406.1	blaACT_68.NG_064668.1	blaACT_8.NG_048631.1	blaMIR_1.NG_049293.1	blaMIR_10.NG_049294.1	blaMIR_11.NG_049295.1	blaMIR_12.NG_049296.1	blaMIR_13.NG_049297.1	blaMIR_14.NG_049298.1	blaMIR_16.NG_049300.1	blaMIR_18.NG_049302.1	blaMIR_19.NG_050721.1	blaMIR_21.NG_050723.1	blaMIR_3.NG_049304.1	blaMIR_9.NG_049309.1
bla-_3	blaDHA_1.NG_049055.1	blaDHA_10.NG_049056.1	blaDHA_12.NG_049057.1	blaDHA_13.NG_049058.1	blaDHA_14.NG_049059.1	blaDHA_15.NG_049060.1	blaDHA_16.NG_049061.1	blaDHA_17.NG_049062.1	blaDHA_18.NG_049063.1	blaDHA_19.NG_049064.1	blaDHA_2.NG_049065.1	blaDHA_20.NG_049066.1	blaDHA_21.NG_049067.1	blaDHA_22.NG_049068.1	blaDHA_23.NG_049069.1	blaDHA_24.NG_049070.1	blaDHA_25.NG_052903.1	blaDHA_26.NG_057482.1	blaDHA_27.NG_057481.1	blaDHA_28.NG_063839.1	blaDHA_29.NG_065868.1	blaDHA_3.NG_049071.1	blaDHA_4.NG_049072.1	blaDHA_5.NG_049073.1	blaDHA_6.NG_049074.1	blaDHA_7.NG_049075.1	blaDHA_9.NG_049076.1	blaMOR_2.NG_049310.1
bla-_4	blaCSP_1.NG_048896.1	blaSPU_1.NG_050141.1
bla-_5	blaCKO_1.NG_048763.1	blaMAL_1.NG_049290.1	blaMAL_2.NG_049291.1
bla-_6	blaAAK_1.NG_070893.1	blaOHIO_1.NG_049352.1	blaSHV_100.NG_049990.1	blaSHV_106.NG_049996.1	blaSHV_107.NG_049997.1	blaSHV_11.NG_050000.1	blaSHV_110.NG_050001.1	blaSHV_128.NG_050006.1	blaSHV_137.NG_050013.1	blaSHV_152.NG_050027.1	blaSHV_156.NG_050031.1	blaSHV_158.NG_050033.1	blaSHV_159.NG_050034.1	blaSHV_16.NG_050035.1	blaSHV_171.NG_068212.1	blaSHV_173.NG_050044.1	blaSHV_182.NG_050049.1	blaSHV_183.NG_050050.1	blaSHV_187.NG_050053.1	blaSHV_188.NG_050054.1	blaSHV_191.NG_050057.1	blaSHV_202.NG_062245.1	blaSHV_204.NG_057611.1	blaSHV_205.NG_062276.1	blaSHV_208.NG_062280.1	blaSHV_212.NG_062284.1	blaSHV_214.NG_062286.1	blaSHV_216.NG_062288.1	blaSHV_219.NG_062291.1	blaSHV_227.NG_062299.1	blaSHV_27.NG_050064.1	blaSHV_28.NG_051877.1	blaSHV_32.NG_050071.1	blaSHV_43.NG_050081.1	blaSHV_45.NG_050083.1	blaSHV_51.NG_050089.1	blaSHV_55.NG_050091.1	blaSHV_67.NG_050102.1	blaSHV_71.NG_050106.1	blaSHV_74.NG_050109.1	blaSHV_75.NG_050110.1	blaSHV_77.NG_050112.1	blaSHV_81.NG_050117.1	blaSHV_9.NG_050122.1	blaSHV_93.NG_050124.1	blaSHV_99.NG_050130.1
bla-_7	blaFONA_1.NG_049092.1	blaFONA_2.NG_049093.1	blaFONA_3.NG_049094.1	blaFONA_4.NG_049095.1	blaFONA_5.NG_049096.1	blaFONA_6.NG_049097.1	blaSFO_1.NG_049982.1
bla-_8	blaIMI_1.NG_049164.1	blaIMI_12.NG_050720.1	blaIMI_13.NG_055491.1	blaIMI_14.NG_052863.1	blaIMI_15.NG_054694.1	blaIMI_16.NG_055504.1	blaIMI_17.NG_055819.1	blaIMI_18.NG_064723.1	blaIMI_19.NG_065426.1	blaIMI_2.NG_049165.1	blaIMI_20.NG_070894.1	blaIMI_3.NG_049166.1	blaIMI_4.NG_049167.1	blaIMI_6.NG_049168.1	blaIMI_7.NG_049169.1	blaIMI_9.NG_049171.1	blaNMC_A.NG_049342.1
bla-_9	blaORN_1.NG_049386.1	blaORN_2.NG_049387.1	blaORN_3.NG_049388.1	blaORN_4.NG_049389.1	blaORN_5.NG_049390.1	blaORN_6.NG_049391.1	blaPLA_1.NG_049969.1	blaPLA_2a.NG_049970.1	blaPLA_3.NG_049971.1	blaPLA_6.NG_049972.1
bla2	bla2.NG_047220.1	bla2.NG_047221.1	bla2.NG_047222.1	bla2.NG_047224.1	bla2.NG_055630.1
bla2_1	bla2.NG_056058.1
bla2a	bla2a.NG_047481.1
blaA	blaA.NG_047489.1
blaACC_-	blaACC_1.NG_048588.1	blaACC_1a.NG_048589.1	blaACC_1b.NG_048590.1	blaACC_1c.NG_048591.1	blaACC_1d.NG_048592.1	blaACC_2.NG_048593.1	blaACC_4.NG_048594.1	blaACC_5.NG_048595.1	blaACC_7.NG_055669.1	blaACC_8.NG_070728.1
blaACI_1	blaACI_1.NG_048596.1
blaACT_-	blaACT_12.NG_048599.1	blaACT_22.NG_048609.1	blaACT_54.NG_055670.1
blaACT_-_1	blaACT_14.NG_048601.1	blaACT_15.NG_048602.1	blaACT_16.NG_050702.1	blaACT_17.NG_048603.1	blaACT_18.NG_048604.1	blaACT_19.NG_048605.1	blaACT_20.NG_048607.1	blaACT_21.NG_048608.1	blaACT_23.NG_048610.1	blaACT_24.NG_048611.1	blaACT_25.NG_048612.1	blaACT_27.NG_048613.1	blaACT_30.NG_048617.1	blaACT_31.NG_048618.1	blaACT_32.NG_048619.1	blaACT_33.NG_048620.1	blaACT_35.NG_048622.1	blaACT_36.NG_048623.1	blaACT_37.NG_048624.1	blaACT_39.NG_048626.1	blaACT_40.NG_050703.1	blaACT_41.NG_050704.1	blaACT_42.NG_050705.1	blaACT_43.NG_050706.1	blaACT_44.NG_050707.1	blaACT_45.NG_050708.1	blaACT_46.NG_050709.1	blaACT_47.NG_050710.1	blaACT_5.NG_048628.1	blaACT_55.NG_061414.1	blaACT_56.NG_061415.1	blaACT_59.NG_061401.1	blaACT_60.NG_061402.1	blaACT_61.NG_061387.1	blaACT_65.NG_064665.1	blaACT_66.NG_064666.1	blaACT_67.NG_064667.1	blaACT_69.NG_065855.1	blaACT_7.NG_048630.1	blaACT_70.NG_065856.1	blaACT_72.NG_065857.1	blaACT_73.NG_066689.2	blaACT_74.NG_066690.1	blaACT_75.NG_066691.1	blaACT_79.NG_067973.1	blaACT_83.NG_067977.1	blaACT_84.NG_068161.1	blaACT_85.NG_068162.1	blaACT_86.NG_068163.1
blaACT_-_2	blaACT_28.NG_048614.1	blaACT_51.NG_050714.1	blaACT_52.NG_050715.1	blaACT_64.NG_061403.1	blaACT_87.NG_070175.1	blaACT_9.NG_048632.1
blaACT_-_3	blaACT_49.NG_050712.1	blaACT_76.NG_066692.1	blaACT_77.NG_067132.1	blaACT_78.NG_067972.1	blaACT_80.NG_067974.1	blaACT_81.NG_067975.1	blaACT_82.NG_067976.1
blaACT_50	blaACT_50.NG_050713.1
blaADC_-	blaADC_1.NG_048633.1	blaADC_10.NG_048634.1	blaADC_100.NG_051439.1	blaADC_101.NG_051440.1	blaADC_102.NG_051441.1	blaADC_103.NG_051442.1	blaADC_104.NG_051443.1	blaADC_105.NG_051444.1	blaADC_106.NG_051445.1	blaADC_107.NG_051446.1	blaADC_109.NG_064669.1	blaADC_11.NG_048635.1	blaADC_110.NG_064670.1	blaADC_112.NG_064671.1	blaADC_113.NG_064672.1	blaADC_114.NG_064673.1	blaADC_115.NG_064674.1	blaADC_116.NG_064675.1	blaADC_117.NG_064676.1	blaADC_119.NG_064677.1	blaADC_12.NG_048636.1	blaADC_120.NG_064678.1	blaADC_121.NG_064679.1	blaADC_122.NG_064680.1	blaADC_123.NG_064681.1	blaADC_125.NG_064682.1	blaADC_13.NG_048637.1	blaADC_132.NG_064688.1	blaADC_139.NG_064695.1	blaADC_14.NG_048638.1	blaADC_140.NG_064696.1	blaADC_141.NG_064697.1	blaADC_143.NG_064698.1	blaADC_144.NG_064699.1	blaADC_145.NG_064700.1	blaADC_146.NG_064701.1	blaADC_147.NG_064702.1	blaADC_149.NG_064704.1	blaADC_150.NG_064705.1	blaADC_151.NG_064706.1	blaADC_152.NG_054691.1	blaADC_153.NG_055657.1	blaADC_154.NG_054996.1	blaADC_155.NG_055285.1	blaADC_156.NG_055286.1	blaADC_157.NG_055287.1	blaADC_158.NG_055786.1	blaADC_159.NG_055787.1	blaADC_160.NG_055788.1	blaADC_162.NG_056060.1	blaADC_163.NG_056105.1	blaADC_164.NG_056106.1	blaADC_165.NG_056107.1	blaADC_166.NG_056108.1	blaADC_167.NG_056109.1	blaADC_168.NG_056110.1	blaADC_169.NG_056172.1	blaADC_17.NG_048641.1	blaADC_170.NG_056175.1	blaADC_171.NG_056163.1	blaADC_172.NG_056162.1	blaADC_173.NG_056164.1	blaADC_174.NG_061390.1	blaADC_175.NG_061391.1	blaADC_176.NG_061392.1	blaADC_177.NG_061393.1	blaADC_178.NG_061394.1	blaADC_179.NG_061395.1	blaADC_180.NG_061396.1	blaADC_181.NG_063832.1	blaADC_182.NG_063833.1	blaADC_183.NG_063834.1	blaADC_184.NG_064707.1	blaADC_185.NG_064708.1	blaADC_186.NG_064709.1	blaADC_187.NG_064710.1	blaADC_188.NG_064711.1	blaADC_189.NG_064712.1	blaADC_19.NG_048643.1	blaADC_190.NG_064713.1	blaADC_191.NG_064714.1	blaADC_192.NG_064715.1	blaADC_195.NG_065420.1	blaADC_196.NG_065858.1	blaADC_197.NG_066477.1	blaADC_198.NG_066478.1	blaADC_199.NG_066479.1	blaADC_2.NG_048644.1	blaADC_20.NG_048645.1	blaADC_200.NG_066480.1	blaADC_203.NG_066483.1	blaADC_204.NG_066484.1	blaADC_206.NG_066486.1	blaADC_207.NG_066487.1	blaADC_21.NG_048646.1	blaADC_211.NG_066491.1	blaADC_212.NG_066492.1	blaADC_213.NG_066493.1	blaADC_214.NG_066494.1	blaADC_215.NG_066495.1	blaADC_216.NG_066496.1	blaADC_217.NG_066497.1	blaADC_218.NG_066498.1	blaADC_219.NG_066499.1	blaADC_22.NG_048647.1	blaADC_220.NG_066500.1	blaADC_221.NG_067133.1	blaADC_222.NG_067193.1	blaADC_223.NG_067194.1	blaADC_224.NG_067195.1	blaADC_225.NG_067196.1	blaADC_226.NG_067197.1	blaADC_227.NG_067198.1	blaADC_228.NG_067199.1	blaADC_229.NG_067200.1	blaADC_230.NG_067201.1	blaADC_231.NG_067202.1	blaADC_232.NG_067203.1	blaADC_233.NG_067204.1	blaADC_234.NG_067978.1	blaADC_235.NG_067979.1	blaADC_236.NG_070226.1	blaADC_237.NG_071183.1	blaADC_238.NG_071184.1	blaADC_239.NG_071185.1	blaADC_24.NG_064717.1	blaADC_240.NG_071186.1	blaADC_241.NG_071187.1	blaADC_242.NG_071188.1	blaADC_243.NG_071189.1	blaADC_244.NG_071190.1	blaADC_245.NG_071191.1	blaADC_246.NG_071192.1	blaADC_247.NG_071193.1	blaADC_248.NG_071194.1	blaADC_249.NG_071195.1	blaADC_25.NG_048649.1	blaADC_250.NG_071196.1	blaADC_251.NG_071197.1	blaADC_252.NG_071198.1	blaADC_253.NG_071199.1	blaADC_254.NG_071200.1	blaADC_26.NG_048650.1	blaADC_29.NG_051493.1	blaADC_3.NG_048651.1	blaADC_30.NG_048652.1	blaADC_31.NG_050716.1	blaADC_32.NG_050717.1	blaADC_33.NG_056059.1	blaADC_38.NG_048653.1	blaADC_39.NG_048654.1	blaADC_4.NG_048655.1	blaADC_41.NG_048656.1	blaADC_42.NG_048657.1	blaADC_43.NG_048658.1	blaADC_44.NG_048659.1	blaADC_5.NG_048660.1	blaADC_50.NG_048661.1	blaADC_51.NG_048662.1	blaADC_52.NG_048663.1	blaADC_53.NG_048664.1	blaADC_54.NG_048665.1	blaADC_56.NG_048666.1	blaADC_57.NG_051494.1	blaADC_58.NG_048667.1	blaADC_59.NG_048668.1	blaADC_6.NG_048669.1	blaADC_60.NG_048670.1	blaADC_61.NG_048671.1	blaADC_62.NG_048672.1	blaADC_63.NG_048673.1	blaADC_65.NG_064718.1	blaADC_66.NG_064719.1	blaADC_67.NG_048675.1	blaADC_68.NG_048676.1	blaADC_7.NG_048677.1	blaADC_70.NG_051317.1	blaADC_73.NG_048678.1	blaADC_74.NG_048679.1	blaADC_75.NG_048680.1	blaADC_76.NG_048681.1	blaADC_77.NG_048682.1	blaADC_78.NG_048683.1	blaADC_79.NG_048684.1	blaADC_80.NG_048686.1	blaADC_81.NG_048687.1	blaADC_82.NG_050718.1	blaADC_86.NG_051450.1	blaADC_87.NG_051451.1	blaADC_88.NG_051452.1	blaADC_89.NG_051453.1	blaADC_90.NG_051454.1	blaADC_91.NG_051455.1	blaADC_92.NG_051456.1	blaADC_93.NG_051457.1	blaADC_94.NG_051458.1	blaADC_95.NG_051459.1	blaADC_96.NG_051460.1	blaADC_97.NG_051461.1	blaADC_98.NG_051462.1	blaADC_99.NG_051463.1
blaADC_-_1	blaADC_127.NG_064683.1	blaADC_128.NG_064684.1	blaADC_129.NG_064685.1	blaADC_194.NG_066693.1	blaADC_205.NG_066485.1
blaADC_-_2	blaADC_130.NG_064686.1	blaADC_131.NG_064687.1	blaADC_148.NG_064703.1	blaADC_255.NG_071201.1
blaADC_-_3	blaADC_134.NG_064690.1	blaADC_135.NG_064691.1	blaADC_136.NG_064692.1	blaADC_137.NG_064693.1	blaADC_138.NG_064694.1	blaADC_15.NG_048639.1	blaADC_16.NG_048640.1	blaADC_18.NG_048642.1	blaADC_193.NG_064716.1	blaADC_201.NG_066481.1	blaADC_202.NG_066482.1	blaADC_208.NG_066488.1	blaADC_209.NG_066489.1	blaADC_210.NG_066490.1	blaADC_23.NG_048648.1	blaADC_85.NG_051449.1
blaADC_133	blaADC_133.NG_064689.1
blaADC_8	blaADC_8.NG_048685.1
blaADC_8-	blaADC_83.NG_051447.1	blaADC_84.NG_051448.1
blaAER_1	blaAER_1.NG_048688.1
blaAFM_1	blaAFM_1.NG_063835.1
blaAIM_1	blaAIM_1.NG_048689.1
blaALG11_1	blaALG11_1.NG_062237.1
blaALG6_1	blaALG6_1.NG_062236.1
blaALI_1	blaALI_1.NG_057427.1
blaALI_2	blaALI_2.NG_059328.1
blaANA_1	blaANA_1.NG_057424.1
blaAQU-	blaAQU.NG_055647.1	blaAQU.NG_065838.1	blaAQU.NG_065839.1	blaAQU_1.NG_066694.1
blaARL_-	blaARL_1.NG_054950.1	blaARL_2.NG_054948.1	blaARL_3.NG_054949.1	blaARL_4.NG_054947.1	blaARL_6.NG_054952.1
blaARL_5	blaARL_5.NG_054951.1
blaAST_1	blaAST_1.NG_048690.1
blaAXC_-	blaAXC_1.NG_061617.1	blaAXC_2.NG_066501.1	blaAXC_3.NG_066502.1	blaAXC_4.NG_066503.1	blaAXC_5.NG_066504.1
blaA_1	blaA.NG_047488.1	blaA.NG_047490.1	blaA.NG_052043.1
blaBAT_1	blaBAT_1.NG_050940.1
blaBBI	blaBBI.NG_063819.1
blaBCL_1	blaBCL_1.NG_051318.1
blaBEL_-	blaBEL_1.NG_048704.1	blaBEL_2.NG_048705.1	blaBEL_3.NG_048706.1	blaBEL_4.NG_050978.1
blaBES_1	blaBES_1.NG_048707.1
blaBIC_1	blaBIC_1.NG_048708.1
blaBJP	blaBJP.NG_055769.1
blaBJP_1	blaBJP_1.NG_048709.1
blaBKC_-	blaBKC_1.NG_048710.1	blaBKC_2.NG_068505.1
blaBPU_1	blaBPU_1.NG_050941.1
